job_id,experiment,aggregate_type,allocator_type,base_model,lora_alpha,peft_type,r,schedule_type,target_modules,learning_rate,metric_for_best_model,score,epoch
6417363,3,l2,random;20,,8.0,LORA,8,once;3,"['query', 'key', 'value']",0.0004,accuracy,0.9165293794618341,14.0
6417363,1,l2,random;20,,8.0,LORA,8,once;3,"['key', 'query', 'value']",0.0004,accuracy,0.9426605504587156,24.0
6417393,6,l2,random;20,,,VERA,1024,once;3,"['key', 'query', 'value']",0.005,matthews_correlation,0.605723479357827,80.0
6417393,3,l2,random;20,,,VERA,1024,once;3,"['key', 'query', 'value']",0.005,accuracy,0.914332784184514,17.0
6417393,2,l2,random;20,,,VERA,1024,once;3,"['key', 'value', 'query']",0.005,accuracy,0.8676470588235294,30.0
6376847,1,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;1,"['value', 'query']",0.0004,matthews_correlation,0.6084494723188812,18.0
6381896,3,l2,scaled_multinomial;20,,8.0,LORA,8,periodic;50,"['key', 'query', 'value']",0.0004,accuracy,0.9229361156873512,14.0
6377410,4,l2,scaled_multinomial;12,,8.0,LORA,8,periodic;30,"['value', 'query']",0.0004,matthews_correlation,0.6032121451400153,80.0
6377410,2,l2,scaled_multinomial;12,,8.0,LORA,8,periodic;70,"['query', 'value']",0.0004,matthews_correlation,0.6006974680936171,80.0
6308971,16,l2,scaled_multinomial;1,,8.0,LORA,8,periodic;100,"['query', 'key', 'value', 'attention.output.dense', 'output.dense', 'intermediate.dense']",0.0004,matthews_correlation,0.0,80.0
6308971,9,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;100,"['intermediate.dense', 'attention.output.dense', 'query', 'output.dense', 'value', 'key']",0.0004,matthews_correlation,0.6529752188824345,80.0
6308971,14,l2,multinomial;10,,8.0,LORA,8,periodic;100,"['value', 'attention.output.dense', 'output.dense', 'intermediate.dense', 'query', 'key']",0.0004,matthews_correlation,0.0,80.0
6308971,5,l2,multinomial;10,,8.0,LORA,8,periodic;100,"['query', 'output.dense', 'key', 'attention.output.dense', 'value', 'intermediate.dense']",0.0004,matthews_correlation,0.5957317644481708,80.0
6308971,17,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;100,"['key', 'value', 'intermediate.dense', 'attention.output.dense', 'query', 'output.dense']",0.0004,matthews_correlation,0.0,80.0
6308971,10,l2,topk;1,,8.0,LORA,8,periodic;100,"['key', 'output.dense', 'attention.output.dense', 'query', 'value', 'intermediate.dense']",0.0004,matthews_correlation,0.0,80.0
6308971,13,l2,multinomial;1,,8.0,LORA,8,periodic;100,"['value', 'attention.output.dense', 'intermediate.dense', 'output.dense', 'key', 'query']",0.0004,matthews_correlation,0.0,80.0
6308971,11,l2,topk;10,,8.0,LORA,8,periodic;100,"['attention.output.dense', 'key', 'value', 'intermediate.dense', 'output.dense', 'query']",0.0004,matthews_correlation,0.0,80.0
6308971,7,l2,scaled_multinomial;1,,8.0,LORA,8,periodic;100,"['attention.output.dense', 'key', 'output.dense', 'intermediate.dense', 'value', 'query']",0.0004,matthews_correlation,0.5626727648075698,80.0
6308971,4,l2,multinomial;1,,8.0,LORA,8,periodic;100,"['intermediate.dense', 'query', 'value', 'attention.output.dense', 'key', 'output.dense']",0.0004,matthews_correlation,0.5653604748370356,80.0
6308971,2,l2,topk;10,,8.0,LORA,8,periodic;100,"['key', 'query', 'output.dense', 'attention.output.dense', 'intermediate.dense', 'value']",0.0004,matthews_correlation,0.6131862438295606,80.0
6308971,1,l2,topk;1,,8.0,LORA,8,periodic;100,"['key', 'query', 'value', 'attention.output.dense', 'intermediate.dense', 'output.dense']",0.0004,matthews_correlation,0.5102026507035501,80.0
6308971,18,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;100,"['output.dense', 'key', 'attention.output.dense', 'intermediate.dense', 'query', 'value']",0.0004,matthews_correlation,-0.010433365633007041,80.0
6388496,1,l2,scaled_multinomial\;10,,8.0,LORA,8,periodic\;10,"['value', 'query']",0.001,matthews_correlation,0.4446196636082168,5.0
6388262,20,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-06,matthews_correlation,0.0,10.0
